INSERT INTO GUEST_ROOM VALUES(1, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(77, 2, 'Queen', 0);
INSERT INTO GUEST_ROOM VALUES(78, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(79, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(80, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(81, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(82, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(83, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(84, 2, 'Queen', 1);
INSERT INTO GUEST_ROOM VALUES(85, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(86, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(87, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(88, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(89, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(90, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(91, 2, 'Queen', 0);
INSERT INTO GUEST_ROOM VALUES(92, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(93, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(94, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(95, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(96, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(97, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(98, 2, 'Queen', 1);
INSERT INTO GUEST_ROOM VALUES(99, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(100, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(101, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(102, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(103, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(104, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(105, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(106, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(107, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(108, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(109, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(110, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(111, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(112, 2, 'Queen', 1);
INSERT INTO GUEST_ROOM VALUES(113, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(114, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(115, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(116, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(117, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(118, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(119, 2, 'Queen', 0);
INSERT INTO GUEST_ROOM VALUES(120, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(121, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(122, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(123, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(124, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(125, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(126, 2, 'Queen', 1);
INSERT INTO GUEST_ROOM VALUES(127, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(128, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(129, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(130, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(131, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(132, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(133, 2, 'Queen', 0);
INSERT INTO GUEST_ROOM VALUES(134, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(135, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(136, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(137, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(138, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(139, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(140, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(141, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(142, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(143, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(144, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(145, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(146, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(147, 2, 'Queen', 0);
INSERT INTO GUEST_ROOM VALUES(148, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(149, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(150, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(151, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(152, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(153, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(154, 2, 'Queen', 1);
INSERT INTO GUEST_ROOM VALUES(155, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(156, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(157, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(158, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(159, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(160, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(161, 2, 'Queen', 0);
INSERT INTO GUEST_ROOM VALUES(162, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(163, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(164, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(165, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(166, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(167, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(168, 2, 'Queen', 1);
INSERT INTO GUEST_ROOM VALUES(169, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(170, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(171, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(172, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(173, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(174, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(175, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(176, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(177, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(178, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(179, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(180, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(181, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(182, 2, 'Queen', 1);
INSERT INTO GUEST_ROOM VALUES(183, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(184, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(185, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(186, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(187, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(188, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(189, 2, 'Queen', 0);
INSERT INTO GUEST_ROOM VALUES(190, 1, 'King', 1);
INSERT INTO GUEST_ROOM VALUES(191, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(192, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(193, 1, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(194, 1, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(195, 1, 'King', 0);
INSERT INTO GUEST_ROOM VALUES(196, 2, 'Queen', 1);
INSERT INTO GUEST_ROOM VALUES(197, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(198, 2, 'Full', 1);
INSERT INTO GUEST_ROOM VALUES(199, 2, 'Twin', 0);
INSERT INTO GUEST_ROOM VALUES(200, 1, 'King', 1);
